track_num,rh_diff,spring_rate,!laptime,minAeroD,maxAeroD,minAeroLF,maxAeroLF,minAeroLR,maxAeroLR,AXvehicle,AYvehicle,minRideFL,maxRideFL,minRideFR,maxRideFR,minRideRL,maxRideRL,minRideRR,maxRideRR,minRollSrel,maxRollSrel,slipaFL,slipaFR,slipaRL,slipaRR,sliprFL,sliprFR,sliprRL,sliprRR,speed,yawa,yawv,minSteeringSignal,maxSteeringSignal,minSteeringWheelAngle,maxSteeringWheelAngle,minSteerL,maxSteerL,minSteerR,maxSteerR,minYawPath,avgYawPath,maxYawPath,FzFL,FzFR,FzRL,FzRR
4,-0.1,360,116.7,12.469,287.75,-285.23,-12.85,-461.78,-21.928,1.2375,2.6654,0.48847,1.4683,0.41706,1.4679,0.10775,1.5514,0.11359,1.553,-0.88949,0.89091,16.095,15.568,10.196,9.476,0.031096,0.031107,0.09515,0.095092,74.009,471,115.77,-113.33,126.78,-113.33,126.78,-26.669,33.492,-29.471,29.99,-10.267,0.14359,8.4248,494.21,520.39,489.73,487.83
4,-0.1,370,116.71,12.48,287.87,-287.65,-12.837,-463,-21.947,1.2351,2.6581,0.50142,1.4637,0.41234,1.463,0.13915,1.5445,0.13993,1.5452,-0.87101,0.87022,15.489,14.998,10.295,9.5427,0.032338,0.029183,0.095317,0.093478,74.005,440.91,116.04,-113.5,126.49,-113.5,126.49,-26.71,33.403,-29.52,29.917,-10.749,0.14361,8.3322,494.18,529.73,493.43,491.91
4,-0.1,380,116.65,12.491,287.98,-289.4,-12.87,-464.15,-21.967,1.2393,2.6464,0.50474,1.4595,0.42375,1.4584,0.16587,1.5368,0.16237,1.5372,-0.85283,0.85873,15.431,14.94,10.54,9.7787,0.02997,0.029972,0.095269,0.094353,73.998,503.43,116.25,-115.1,126.44,-115.1,126.44,-27.102,33.389,-29.992,29.905,-10.752,0.14405,8.4633,495.37,531.1,496.99,495.98
4,-0.1,390,116.66,12.506,288.11,-290.23,-12.883,-465.3,-21.993,1.2376,2.627,0.5223,1.4549,0.41845,1.4528,0.19236,1.5287,0.18685,1.5281,-0.83319,0.84633,14.604,14.161,11.033,10.248,0.028358,0.029243,0.093197,0.093536,73.995,406.6,116.27,-113.01,126.65,-113.01,126.65,-26.592,33.453,-29.378,29.958,-10.875,0.14262,8.945,495.81,541.04,500.5,499.38
4,-0.1,400,116.62,12.517,288.2,-289.36,-12.893,-466.37,-22.013,1.2399,2.6129,0.52494,1.4453,0.43403,1.4487,0.2171,1.5218,0.20713,1.5212,-0.81609,0.82638,13.925,13.525,10.975,10.196,0.03073,0.030058,0.092924,0.094333,73.988,471.47,115.5,-113.22,126.48,-113.22,126.48,-26.643,33.402,-29.44,29.916,-11.08,0.13276,8.8925,496.53,540.7,503.7,502.94
4,-0.1,410,114.83,12.528,288.24,-290.3,-12.903,-467.37,-22.033,1.2444,2.5977,0.53845,1.4459,0.46213,1.4436,0.24,1.5153,0.22885,1.5145,-0.79902,0.80746,13.384,13.014,10.984,10.21,0.028354,0.028299,0.095788,0.093733,73.978,462.69,115.51,-114.72,126.31,-114.72,126.31,-27.01,33.351,-29.882,29.874,-11.125,0.10486,8.893,496.47,532.19,506.66,505.91
4,-0.1,420,114.83,12.54,288.33,-291.85,-12.913,-468.4,-22.053,1.2437,2.6014,0.54387,1.4406,0.46585,1.4379,0.26126,1.509,0.24978,1.5079,-0.78658,0.78947,13.179,12.821,11.386,10.594,0.027997,0.028378,0.09328,0.09348,73.974,638.98,115.59,-113.45,126.22,-113.45,126.22,-26.7,33.321,-29.508,29.85,-11.941,0.099947,9.2859,498.25,537.47,509.28,508.62
4,-0.1,430,114.83,12.551,288.37,-293.04,-12.923,-469.35,-22.073,1.2366,2.5878,0.55722,1.4358,0.47684,1.4329,0.28003,1.5031,0.26912,1.5019,-0.77128,0.77759,12.81,12.471,11.464,10.67,0.027412,0.028399,0.094085,0.093728,73.963,457.56,115.61,-115.83,126.21,-115.83,126.21,-27.28,33.318,-30.207,29.847,-11.859,0.10514,9.3614,496.39,537.89,511.85,511.22
4,-0.1,440,114.78,12.562,288.44,-295.9,-12.933,-470.29,-22.094,1.2364,2.5891,0.55616,1.429,0.4797,1.4291,0.2983,1.4974,0.28786,1.4962,-0.75807,0.76873,12.443,12.126,11.431,10.64,0.027262,0.028339,0.092819,0.093465,73.955,468.95,115.67,-118.9,126.14,-118.9,126.14,-28.036,33.299,-31.122,29.832,-12.242,0.096038,9.3288,500.29,541.45,514.19,513.6
4,-0.1,450,114.79,12.573,288.52,-295.63,-12.942,-471.21,-22.113,1.2401,2.5922,0.56261,1.4234,0.49365,1.4232,0.31598,1.4918,0.30585,1.4906,-0.74668,0.75828,13.353,12.931,11.842,11.03,0.028044,0.028918,0.093011,0.093913,73.948,486.98,115.79,-112.8,126.11,-112.8,126.11,-26.54,33.288,-29.316,29.823,-11.884,0.097946,9.7312,499.22,540.16,516.3,515.76
4,-0.1,460,114.79,12.585,288.6,-296.96,-12.952,-472.1,-22.133,1.2439,2.598,0.56874,1.4204,0.50072,1.4183,0.33204,1.4866,0.32246,1.4851,-0.73561,0.74789,13.742,13.3,11.875,11.062,0.027975,0.028423,0.094094,0.093928,73.94,477.61,115.94,-112.8,126.06,-112.8,126.06,-26.538,33.274,-29.314,29.811,-12.028,0.096683,9.7622,497.59,542.13,518.45,517.92
4,-0.1,470,114.81,12.596,288.7,-298.29,-12.962,-472.97,-22.154,1.2397,2.5802,0.57378,1.4166,0.50966,1.4182,0.34808,1.4816,0.33871,1.4799,-0.72489,0.73678,15.315,14.989,11.117,10.345,0.027805,0.027453,0.093725,0.093644,73.932,508.67,116.08,-112.86,126.01,-112.86,126.01,-26.554,33.259,-29.333,29.799,-12.726,0.096701,9.0234,499.58,542.71,520.32,519.84
4,-0.1,480,114.78,12.607,288.8,-299.76,-12.972,-473.81,-22.174,1.2437,2.5825,0.57212,1.4118,0.51857,1.4138,0.36295,1.4767,0.35389,1.4748,-0.71623,0.72888,13.161,12.751,11.441,10.653,0.027606,0.028231,0.094053,0.093772,73.924,575.31,116.25,-113.06,126.1,-113.06,126.1,-26.604,33.286,-29.392,29.821,-13.125,0.091022,9.3356,504.1,542.8,522.17,521.72
4,-0.1,490,114.74,12.614,288.9,-300.45,-12.979,-474.62,-22.186,1.237,2.5811,0.57326,1.4084,0.52594,1.4061,0.37698,1.4721,0.36822,1.4698,-0.7105,0.72181,16.019,15.339,11.579,10.784,0.027608,0.029279,0.093822,0.094284,73.915,584.37,116.37,-126.12,125.83,-126.12,125.83,-29.829,33.202,-33.304,29.753,-12.422,0.08512,9.4699,505.72,544.48,523.97,523.55
4,-0.1,500,114.76,12.626,289.02,-301.9,-12.989,-475.49,-22.206,1.2372,2.5775,0.58351,1.4045,0.53315,1.403,0.3906,1.4676,0.38206,1.4652,-0.703,0.71394,13.132,12.724,11.28,10.502,0.027526,0.027864,0.093676,0.094081,73.91,614.17,116.55,-112.66,125.84,-112.66,125.84,-26.504,33.205,-29.273,29.755,-12.605,0.090086,9.1765,502.49,544.93,525.62,525.23
4,-0.1,510,118.03,12.629,289.14,-303.02,-12.993,-476.46,-22.214,1.2448,2.5794,0.58947,1.4008,0.53981,1.3993,0.40365,1.4631,0.39527,1.4597,-0.69725,0.70819,13.036,12.633,11.565,10.773,0.029387,0.028,0.095407,0.094265,73.903,657.47,116.64,-112.35,125.34,-112.35,125.34,-26.43,33.055,-29.184,29.632,-13.106,0.20324,9.4551,500.84,546.18,527.19,526.85
4,-0.1,520,118.07,12.633,289.26,-303.74,-12.996,-477.4,-22.22,1.2368,2.5767,0.5941,1.3972,0.54482,1.3959,0.41646,1.4596,0.40813,1.4552,-0.6904,0.70239,12.96,12.562,11.491,10.705,0.028926,0.02697,0.093864,0.093533,73.896,673.24,116.99,-124.72,125.12,-124.72,125.12,-29.478,32.987,-32.875,29.576,-13.51,0.20271,9.3831,500.52,545.68,528.59,528.32
4,-0.1,530,118.05,12.637,289.37,-304.6,-12.999,-478.31,-22.227,1.2396,2.5747,0.59887,1.3941,0.54891,1.3931,0.42859,1.4555,0.42035,1.4494,-0.68453,0.69986,13.23,12.817,11.314,10.537,0.02768,0.02678,0.095439,0.095495,73.889,665.56,115.95,-112.65,124.79,-112.65,124.79,-26.504,32.888,-29.272,29.495,-12.923,0.20249,9.2082,500.06,545.51,529.96,529.74
4,-0.1,540,118.07,12.633,289.46,-305.83,-12.995,-479.19,-22.22,1.2347,2.5747,0.60361,1.3911,0.55419,1.3894,0.43952,1.4514,0.43161,1.4455,-0.67841,0.69672,13.061,12.655,11.429,10.648,0.027997,0.027567,0.094459,0.095559,73.882,624.47,116.02,-112.3,124.54,-112.3,124.54,-26.417,32.813,-29.168,29.433,-12.447,0.19894,9.321,499.62,543.82,531.48,531.24
4,-0.1,550,114.8,12.633,289.56,-307,-12.994,-480.05,-22.221,1.2391,2.5975,0.60568,1.3863,0.55708,1.3909,0.45048,1.4474,0.44272,1.4417,-0.67272,0.68851,16.075,15.271,11.402,10.624,0.027384,0.026654,0.095447,0.094681,73.875,578.16,116.01,-112.09,124.27,-112.09,124.27,-26.366,32.731,-29.107,29.366,-12.572,0.093443,9.2937,499.44,544.89,532.79,532.58
4,-0.1,560,118.04,12.63,289.65,-306.46,-12.99,-480.88,-22.214,1.236,2.5744,0.61207,1.3843,0.56507,1.388,0.46111,1.4436,0.45347,1.4382,-0.66638,0.68341,12.995,12.593,11.395,10.618,0.02764,0.026792,0.095699,0.093323,73.868,610.89,116.11,-112.23,124.06,-112.23,124.06,-26.401,32.668,-29.148,29.314,-13.07,0.20186,9.2873,499.14,540.74,534.02,533.85
