spring,track,clutchspeed,laptime,maxspeed,minspeed,avgspeed,F_Ride_AVG,R_Ride_AVG,F_Ride_MIN,R_Ride_MIN,F_Ride_MAX,R_Ride_MAX
420,4,2500,115.97,77.27,14.698,40.565,1.1529,1.0518,0.59007,0.59839,1.3796,1.4169
425,4,2500,115.98,77.268,14.689,40.562,1.1537,1.0537,0.6017,0.60426,1.378,1.4148
430,4,2500,115.99,77.269,14.682,40.561,1.1544,1.0556,0.5963,0.6099,1.3769,1.413
435,4,2500,116.01,77.267,14.674,40.553,1.1552,1.0575,0.60143,0.61546,1.3755,1.412
440,4,2500,116.03,77.266,14.667,40.546,1.156,1.0594,0.6058,0.62087,1.3742,1.4116
445,4,2500,116.06,77.262,14.661,40.534,1.1568,1.061,0.60954,0.6262,1.3729,1.4114
450,4,2500,116.08,77.261,14.652,40.527,1.1576,1.0628,0.61526,0.63129,1.3718,1.4134
455,4,2500,116.07,77.26,14.645,40.532,1.1583,1.0645,0.61938,0.63627,1.3707,1.4133
460,4,2500,116.09,77.261,14.637,40.522,1.159,1.0663,0.6278,0.64102,1.3681,1.4115
465,4,2500,116.06,77.258,14.63,40.534,1.1596,1.0678,0.62778,0.64579,1.3685,1.4092
470,4,2500,116.07,77.26,14.624,40.53,1.1602,1.0696,0.63734,0.65031,1.3675,1.4078
475,4,2500,116.12,77.258,14.615,40.516,1.161,1.0712,0.6427,0.65482,1.3664,1.4065
480,4,2500,116.11,77.256,14.608,40.517,1.1617,1.0726,0.64316,0.65926,1.3652,1.4035
485,4,2500,116.13,77.252,14.602,40.511,1.1623,1.0742,0.6441,0.66379,1.3642,1.4022
490,4,2500,116.13,77.251,14.593,40.51,1.1629,1.0758,0.6449,0.66798,1.3623,1.3997
495,4,2500,116.12,77.25,14.586,40.516,1.1636,1.0772,0.64628,0.67256,1.3624,1.3987
500,4,2500,116.13,77.251,14.58,40.51,1.1641,1.0787,0.64448,0.67697,1.3602,1.3974
505,4,2500,116.12,77.25,14.55,40.512,1.1647,1.0801,0.64795,0.68136,1.3593,1.395
510,4,2500,116.15,77.249,14.565,40.502,1.1654,1.0815,0.67387,0.68561,1.3595,1.3945
515,4,2500,116.17,77.248,14.558,40.497,1.1661,1.0828,0.67695,0.68979,1.3584,1.3922
520,4,2500,116.15,77.248,14.552,40.503,1.1665,1.0843,0.67871,0.69395,1.3577,1.3906
525,4,2500,116.17,77.248,14.521,40.498,1.1672,1.0856,0.68249,0.6981,1.3559,1.3892
530,4,2500,116.19,77.248,14.536,40.49,1.1678,1.0869,0.68559,0.70223,1.3559,1.3874
535,4,2500,116.18,77.248,14.53,40.495,1.1682,1.0883,0.69006,0.7063,1.355,1.3862
540,4,2500,116.21,77.247,14.523,40.482,1.1689,1.0896,0.69336,0.71037,1.3541,1.3847
545,4,2500,116.21,77.248,14.516,40.484,1.1694,1.0908,0.6965,0.71435,1.3534,1.3832
550,4,2500,116.2,77.248,14.486,40.488,1.17,1.0919,0.70379,0.71828,1.3528,1.3817
555,4,2500,116.23,77.248,14.501,40.476,1.1705,1.0932,0.70845,0.72213,1.3506,1.38
560,4,2500,116.24,77.248,14.495,40.472,1.171,1.0945,0.7111,0.72592,1.3511,1.3783
565,4,2500,116.25,77.248,14.488,40.468,1.1715,1.0956,0.71449,0.72959,1.3505,1.377
570,4,2500,116.24,77.249,14.482,40.471,1.172,1.0967,0.71754,0.73317,1.3497,1.3756
575,4,2500,116.24,77.249,14.475,40.471,1.1725,1.0979,0.71621,0.73664,1.3463,1.3746
580,4,2500,116.27,77.251,14.445,40.462,1.173,1.099,0.7213,0.74005,1.3482,1.3732
585,4,2500,116.3,77.252,14.46,40.453,1.1736,1.1001,0.72494,0.74335,1.3476,1.3719
590,4,2500,116.26,77.253,14.453,40.467,1.174,1.1011,0.72967,0.74657,1.3465,1.3707
595,4,2500,116.26,77.254,14.447,40.467,1.1744,1.1022,0.73275,0.74971,1.3463,1.3696
600,4,2500,116.25,77.255,14.44,40.469,1.1748,1.1033,0.73472,0.75277,1.3457,1.3684
