,track,tw,wb,df_scale,drag_scale
99,0,44,75.5,0.6421052631578992,0.7480000000000027
100,0,44,76.5,0.6421052631578992,0.7480000000000027
101,0,44,77.5,0.6421052631578992,0.7480000000000027
102,0,44,78.5,0.6421052631578992,0.7480000000000027
103,0,44,79.5,0.6421052631578992,0.7480000000000027
104,0,44,80.5,0.6421052631578992,0.7480000000000027
105,0,45,60.5,0.7017543859649165,0.7900000000000023
106,0,45,61.5,0.7017543859649165,0.7900000000000023
107,0,45,62.5,0.7017543859649165,0.7900000000000023
108,0,45,63.5,0.7017543859649165,0.7900000000000023
109,0,45,64.5,0.7017543859649165,0.7900000000000023
110,0,45,65.5,0.7017543859649165,0.7900000000000023
111,0,45,66.5,0.7017543859649165,0.7900000000000023
112,0,45,67.5,0.7017543859649165,0.7900000000000023
113,0,45,68.5,0.7017543859649165,0.7900000000000023
114,0,45,69.5,0.7017543859649165,0.7900000000000023
115,0,45,70.5,0.7017543859649165,0.7900000000000023
116,0,45,71.5,0.7017543859649165,0.7900000000000023
117,0,45,72.5,0.7017543859649165,0.7900000000000023
118,0,45,73.5,0.7017543859649165,0.7900000000000023
119,0,45,74.5,0.7017543859649165,0.7900000000000023
120,0,45,75.5,0.7017543859649165,0.7900000000000023
121,0,45,76.5,0.7017543859649165,0.7900000000000023
122,0,45,77.5,0.7017543859649165,0.7900000000000023
123,0,45,78.5,0.7017543859649165,0.7900000000000023
124,0,45,79.5,0.7017543859649165,0.7900000000000023
125,0,45,80.5,0.7017543859649165,0.7900000000000023
126,0,46,60.5,0.7614035087719333,0.8320000000000018
127,0,46,61.5,0.7614035087719333,0.8320000000000018
128,0,46,62.5,0.7614035087719333,0.8320000000000018
129,0,46,63.5,0.7614035087719333,0.8320000000000018
130,0,46,64.5,0.7614035087719333,0.8320000000000018
131,0,46,65.5,0.7614035087719333,0.8320000000000018
132,0,46,66.5,0.7614035087719333,0.8320000000000018
133,0,46,67.5,0.7614035087719333,0.8320000000000018
134,0,46,68.5,0.7614035087719333,0.8320000000000018
135,0,46,69.5,0.7614035087719333,0.8320000000000018
136,0,46,70.5,0.7614035087719333,0.8320000000000018
137,0,46,71.5,0.7614035087719333,0.8320000000000018
138,0,46,72.5,0.7614035087719333,0.8320000000000018
139,0,46,73.5,0.7614035087719333,0.8320000000000018
140,0,46,74.5,0.7614035087719333,0.8320000000000018
141,0,46,75.5,0.7614035087719333,0.8320000000000018
142,0,46,76.5,0.7614035087719333,0.8320000000000018
143,0,46,77.5,0.7614035087719333,0.8320000000000018
144,0,46,78.5,0.7614035087719333,0.8320000000000018
145,0,46,79.5,0.7614035087719333,0.8320000000000018
146,0,46,80.5,0.7614035087719333,0.8320000000000018
147,0,47,60.5,0.8210526315789501,0.8740000000000014
148,0,47,61.5,0.8210526315789501,0.8740000000000014
149,0,47,62.5,0.8210526315789501,0.8740000000000014
150,0,47,63.5,0.8210526315789501,0.8740000000000014
151,0,47,64.5,0.8210526315789501,0.8740000000000014
152,0,47,65.5,0.8210526315789501,0.8740000000000014
153,0,47,66.5,0.8210526315789501,0.8740000000000014
154,0,47,67.5,0.8210526315789501,0.8740000000000014
155,0,47,68.5,0.8210526315789501,0.8740000000000014
156,0,47,69.5,0.8210526315789501,0.8740000000000014
157,0,47,70.5,0.8210526315789501,0.8740000000000014
158,0,47,71.5,0.8210526315789501,0.8740000000000014
159,0,47,72.5,0.8210526315789501,0.8740000000000014
160,0,47,73.5,0.8210526315789501,0.8740000000000014
161,0,47,74.5,0.8210526315789501,0.8740000000000014
162,0,47,75.5,0.8210526315789501,0.8740000000000014
163,0,47,76.5,0.8210526315789501,0.8740000000000014
164,0,47,77.5,0.8210526315789501,0.8740000000000014
165,0,47,78.5,0.8210526315789501,0.8740000000000014
166,0,47,79.5,0.8210526315789501,0.8740000000000014
167,0,47,80.5,0.8210526315789501,0.8740000000000014
